,program,course_title,course_unit,equivalent_courses,instructors,notes
GRMN 25516,Germanic Studies,Dwelling: Literature and Architecture,100,,I. Christian,This course will take place in conjunction with a conference on “Literary Habitation” organized in the Autumn Quarter.
GRMN 25817,Germanic Studies,W. G. Sebald: On The Natural History of Destruction,100,"GRMN 35817,FNDL 25817",E. Santner,"Texts will be available in English and German, discussion will be held in English. We will “accompany” our reading of Sebald with a reading of Lucretius’s poem, On Nature."
GRMN 26816,Germanic Studies,Authority and Enjoyment,100,GRMN 36816,A. Schuster,"Readings will include: Walter Benjamin on language and judgment; Hannah Arendt on the crisis of authority; Alexandre Kojève’s The Notion of Authority which analyzes its four ideal types (Father, Judge, Leader, Master); Jean Genet’s play The Balcony, dealing with the comedy of modern authority; the fantastical figure of the father in the work of Franz Kafka; and the vicissitudes of the Oedipus complex in psychoanalytic theory, focusing on Sigmund Freud (Three Essays on the Theory of Sexuality) and Jacques Lacan (Seminar VIII Transference). We will also watch Lars Von Trier’s The Boss of It All, Andrey Zvyagintsev’s The Return, and Nicholas Ray’s Rebel Without a Cause."
GRMN 27517,Germanic Studies,"Metaphysics, Morbidity, & Modernity: Mann’s The Magic Mountain",100,"CMLT 27517,FNDL 27517",,This is a LECTURE course with discussion sections. All readings in English.
GRMN 27717,Germanic Studies,Opera in the Age of Its Mechanical Reproducibility,100,"GRMN 37717,TAPS 28422,TAPS 38422,CMST 28301,CMST 38301,MUSI 24517,MUSI 34517",D. Levin,
GRMN 29700,Germanic Studies,Reading and Research Course in German,100,,,Students must consult with the instructor by the eighth week of the preceding quarter to determine the subject of the course and the work to be done. Students are required to submit the College Reading and Research Course Form.
GRMN 29900,Germanic Studies,BA Paper,100,,,Students are required to submit the College Reading and Research Course Form.
NORW 10100,Germanic Studies,First-Year Norwegian I,100,,Kimberly Kenny,
NORW 10200,Germanic Studies,First-Year Norwegian II,100,,Kimberly Kenny,
NORW 10300,Germanic Studies,First-Year Norwegian III,100,,Kimberly Kenny,
NORW 10400,Germanic Studies,Intermediate Norwegian I: Introduction to Literature,100,,Kimberly Kenny,
NORW 10500,Germanic Studies,Intermediate Norwegian II,100,,,
NORW 26700,Germanic Studies,Literature of the Occupation,100,GRMN 26700,K. Kenny,
NORW 29700,Germanic Studies,Reading and Research Course in Norwegian,100,,Kimberly Kenny,Students must consult with the instructor by the eighth week of the preceding quarter to determine the subject of the course and the work to be done. Students are required to submit the College Reading and Research Course Form.
YDDH 10100,Germanic Studies,Elementary Yiddish I,100,"JWSC 20300,YDDH 37300",Sunny Yudkoff,
YDDH 10200,Germanic Studies,Elementary Yiddish II,100,"JWSC 20400,YDDH 37400",Sunny Yudkoff,
YDDH 10300,Germanic Studies,Elementary Yiddish III,100,"JWSC 20500,YDDH 37500",Sunny Yudkoff,
YDDH 20101,Germanic Studies,Intermediate Yiddish: The Yiddish Press,100,"YDDH 30101,JWSC 27502",S. Yudkoff,
YDDH 21101,Germanic Studies,Advanced Yiddish: The Yiddish Press,100,"YDDH 31101,JWSC 27602",S. Yudkoff,
YDDH 25917,Germanic Studies,Imagining the Shtetl,100,"YDDH 35917,GRMN 25917,GRMN 35917,CMLT 26216,JWSC 20230,CRES 25917,CRES 35917,CMLT 36210",S. Yudkoff,This course may be used to fulfill the general education requirement in civilization studies.
YDDH 29700,Germanic Studies,Reading and Research Course in Yiddish,100,,Sunny Yudkoff,
GLST 23101,Global Studies,Global Studies I,100,,"Jasarevic, Larisa",
GLST 23102,Global Studies,Global Studies II,100,,"Jasarevic, Larisa",
GLST 24104,Global Studies,"Ecopoetics: Nature, Lyric, and Ecology",100,"ENST 24104,ENGL 26406",Joseph Moctezuma,
GLST 24105,Global Studies,Rethinking the Middle East,100,"PBPL 25105,ANTH 24105",Yaqub Hilal,
GLST 24106,Global Studies,"The Global South: Knowledge, Culture, Aesthetics",100,"ENGL 27316,CRES 24106",Peter Lido,
GLST 24107,Global Studies,Science: From the Occult to the Enlightenment,100,,Emin Lelic,
GLST 27702,Global Studies,About Nature: From Science to Sense,100,"ANTH 25117,INST 27702",L. Jasarevic,
GLST 28001,Global Studies,Colonialism and Female Iconography: Bengal and Britain,100,"HIST 26904,SALC 28001",Sukla Chatterjee,
GLST 29700,Global Studies,Reading/Research: Global Studies,100,,,
GLST 29800,Global Studies,BA Thesis Seminar I,100,,,"Required of students with fourth-year standing who are majoring in Global Studies, but enrollment not permitted in quarter of graduation."
GLST 29801,Global Studies,BA Thesis Seminar II,100,,,"Required of students with fourth-year standing who are majoring in Global Studies, but enrollment not permitted in quarter of graduation."
CRES 24001,Civilization Studies,Colonizations I,100,"ANTH 24001,HIST 18301,SOSC 24001",,This sequence meets the general education requirement in civilization studies. This course is offered every year. These courses can be taken in any sequence.
CRES 24002,Civilization Studies,Colonizations II,100,"ANTH 24002,HIST 18302,SOSC 24002",,This sequence meets the general education requirement in civilization studies. These courses can be taken in any sequence.
CRES 24003,Civilization Studies,Colonizations III,100,"ANTH 24003,HIST 18303,SALC 20702,SOSC 24003",,This sequence meets the general education requirement in civilization studies. These courses can be taken in any sequence.
EALC 10800,Civilization Studies,Introduction to the Civilizations of East Asia I,100,"CRES 10800,SOSC 23500,HIST 15100",G. Alitto,Taking these courses in sequence is not required.
EALC 10900,Civilization Studies,Introduction to the Civilizations of East Asia II,100,"CRES 10900,SOSC 23600,HIST 15200",J. Ketelaar,Taking these courses in sequence is not required.
EALC 11000,Civilization Studies,Introduction to the Civilizations of East Asia III,100,"CRES 11000,SOSC 23700,HIST 15300",B. Cumings,Taking these courses in sequence is not required.
GNSE 15002,Civilization Studies,Gender and Sexuality in World Civilizations I,100,,Staff,This sequence meets the general education requirement in civilization studies.
GNSE 15003,Civilization Studies,Gender and Sexuality in World Civilizations II,100,,Staff,This sequence meets the general education requirement in civilization studies.
HIPS 17300,Civilization Studies,"Science, Culture, and Society in Western Civilization I",100,HIST 17300,J. Wee,
HIPS 17400,Civilization Studies,"Science, Culture, and Society in Western Civilization II",100,HIST 17400,R. Richards,
HIPS 17402,Civilization Studies,"Science, Culture, and Society in Western Civilization II: History of Medicine 1",100,HIST 17402,,
HIPS 17501,Civilization Studies,"Science, Culture, and Society in Western Civilization III: Medicine since the Renaissance",100,HIST 17501,,
HIPS 17502,Civilization Studies,"Science, Culture, and Society in Western Civilization IV: Modern Science",100,HIST 17502,J. Evans,
HIPS 17503,Civilization Studies,"Science, Culture, and Society in Western Civilization III: History of Medicine 2",100,HIST 17503,,
HIST 10101,Civilization Studies,Introduction to African Civilization I,100,"ANTH 20701,CRES 20701",E. Osborn,Taking these courses in sequence is recommended but not required; this sequence meets the general education requirement in civilization studies.
HIST 10102,Civilization Studies,Introduction to African Civilization II,100,"ANTH 20702,CHDV 21401,CRES 20802",J. Cole,Taking these courses in sequence is recommended but not required; this sequence meets the general education requirement in civilization studies. CHDV Distribution C*.
HIST 13001,Civilization Studies,History of European Civilization I,100,,"F. Albritton Jonsson, C. Fasolt, J. Lyon, J. Padgett, A. Palmer, N. Ristuccia, Staff",
HIST 13002,Civilization Studies,History of European Civilization II,100,,"J. Goldstein, F. Hillis, N. Ristuccia, Staff",
HIST 13003,Civilization Studies,History of European Civilization III,100,,"N. Ristuccia, Staff",Students who plan to complete a three-quarter sequence register for HIST 13003 in Spring Quarter after completing HIST 13001-13002. Students may not combine HIST 13003 with one other quarter of European Civilization to construct a two-quarter sequence.
HIST 13100,Civilization Studies,History of Western Civilization I,100,,"K. Weintraub, Autumn; J. Boyer, Summer",
HIST 13200,Civilization Studies,History of Western Civilization II,100,,"K. Weintraub, Winter, Summer",
HIST 13300,Civilization Studies,History of Western Civilization III,100,,"K. Weintraub, Spring; D. Koehler, Summer",
HIST 13500,Civilization Studies,America in World Civilization I,100,,"E. Cook, Staff",
HIST 13600,Civilization Studies,America in World Civilization II,100,,"A. Green, A. Lippert, A. Stanley, Staff",
HIST 13700,Civilization Studies,America in World Civilization III,100,,"K. Belew, J. Dailey, J. Sparrow",
HIST 13900,Civilization Studies,Introduction to Russian Civilization I,100,"SOSC 24000,REES 26011","E. Gilburd, W. Nickell",Taking these courses in sequence is recommended but not required.
HIST 14000,Civilization Studies,Introduction to Russian Civilization II,100,"SOSC 24100,REES 26012","R. Bird, E. Gilburd",Taking these courses in sequence is recommended but not required.
HIST 16700,Civilization Studies,Ancient Mediterranean World I,100,CLCV 20700,"J. Hall, Staff",This sequence meets the general education requirement in civilization studies.
HIST 16800,Civilization Studies,Ancient Mediterranean World II,100,CLCV 20800,"C. Ando, Staff",This sequence meets the general education requirement in civilization studies.
HIST 16900,Civilization Studies,Ancient Mediterranean World III,100,CLCV 20900,W. Kaegi,This sequence meets the general education requirement in civilization studies.
HMRT 10100,Civilization Studies,Human Rights in World Civilizations I,100,,M. Bradley and S. Thakkar,This sequence meets the general education requirement in civilization studies. These courses must be taken in sequence.
HMRT 10200,Civilization Studies,Human Rights in World Civilizations II,100,,B. Laurence and Staff,This sequence meets the general education requirement in civilization studies. These courses must be taken in sequence; students must have taken HMRT 10100 to enroll in this course.
LACS 16100,Civilization Studies,Introduction to Latin American Civilization I,100,"ANTH 23101,CRES 16101,HIST 16101,HIST 36101,LACS 34600,SOSC 26100",A. Kolata,
LACS 16200,Civilization Studies,Introduction to Latin American Civilization II,100,"ANTH 23102,CRES 16102,HIST 16102,HIST 36102,LACS 34700,SOSC 26200",D. Borges,
LACS 16300,Civilization Studies,Introduction to Latin American Civilization III,100,"ANTH 23103,CRES 16103,HIST 16103,HIST 36103,LACS 34800,SOSC 26300",B. Fischer,
MUSI 12100,Civilization Studies,Music in Western Civilization I: To 1750,100,"HIST 12700,SOSC 21100",A. Robertson,Prior music course or ability to read music not required. Students must confirm enrollment by attending one of the first two sessions of class. This two-quarter sequence meets the general education requirement in civilization studies; it does not meet the general education requirement in the arts.
MUSI 12200,Civilization Studies,Music in Western Civilization II: 1750 to the Present,100,"HIST 12800,SOSC 21200",,Prior music course or ability to read music not required. Students must confirm enrollment by attending one of the first two sessions of class. This two-quarter sequence meets the general education requirement in civilization studies; it does not meet the general education requirement in the arts.
NEHC 20001,Civilization Studies,Ancient Near Eastern History and Society I: Egypt,100,NEHC 30001,"J. Johnson, B. Muhs",
NEHC 20002,Civilization Studies,Ancient Near Eastern History and Society II: Mesopotamia,100,NEHC 30002,R. Payne,
NEHC 20003,Civilization Studies,Ancient Near Eastern History and Society III: Anatolia and Levant,100,,P. Goedegebuure,
NEHC 20004,Civilization Studies,Ancient Near Eastern Thought and Literature I: Mesopotamian Literature,100,NEHC 30004,S. Paulus,Taking these courses in sequence is not required. This sequence meets the general education requirement in civilization studies.
NEHC 20005,Civilization Studies,Ancient Near Eastern Thought and Literature II: Anatolian Literature,100,NEHC 30005,H. Haroutunian,Taking these courses in sequence is not required. This sequence meets the general education requirement in civilization studies
NEHC 20006,Civilization Studies,Ancient Near Eastern Thought and Literature III: Egypt,100,NEHC 30006,B. Muhs,Taking these courses in sequence is not required. This sequence meets the general education requirement in civilization studies
NEHC 20011,Civilization Studies,Ancient Empires I,100,"CLCV 25700,HIST 15602,NEHC 30011",H. Haroutunian,Taking these courses in sequence is not required. This sequence meets the general education requirement in civilization studies.
NEHC 20012,Civilization Studies,Ancient Empires II: The Ottoman Empire,100,"CLCV 25800,HIST 15603,NEHC 30012",H. Karateke,Taking these courses in sequence is not required. This sequence meets the general education requirement in civilization studies.
NEHC 20013,Civilization Studies,Ancient Empires III: The Egyptian Empire of the New Kingdom,100,"CLCV 25900,HIST 15604,NEHC 30013",N. Moeller,Taking these courses in sequence is not required. This sequence meets the general education requirement in civilization studies.
NEHC 20416,Civilization Studies,"Semitic Languages, Cultures, and Civilizations I",100,"HIST 15702,NEHC 30416",S. Paulus,
NEHC 20417,Civilization Studies,"Semitic Languages, Cultures, and Civilizations II",100,"HIST 15703,NEHC 30417",H. Reculeau,Not open to first-year students
NEHC 20418,Civilization Studies,"Semitic Languages, Cultures, and Civilizations III",100,,,
NEHC 20501,Civilization Studies,Islamic History and Society I: The Rise of Islam and the Caliphate,100,"NEHC 30501,HIST 25704,HIST 35704,ISLM 30500,RLST 20501",F. Donner,Taking these courses in sequence is recommended but not required. This sequence meets the general eduation requirement in civilization studies.
NEHC 20502,Civilization Studies,Islamic History and Society II: The Middle Period,100,"NEHC 30502,HIST 25804,HIST 35804,ISLM 30600",J. Woods,
NEHC 20503,Civilization Studies,Islamic History and Society III: The Modern Middle East,100,"HIST 25904,HIST 35904,ISLM 30700,NEHC 30503",A. Shissler,This course does not apply to the medieval studies major or minor.
NEHC 20601,Civilization Studies,Islamic Thought and Literature I,100,"NEHC 30601,RLST 20401,SOSC 22000,HIST 25610,HIST 35610,ISLM 30601",A. El Shamsy,
NEHC 20602,Civilization Studies,Islamic Thought and Literature II,100,"NEHC 30602,RLST 20402,SOSC 22100,ISLM 30602,CMES 30602",F. Lewis,Taking these courses in sequence is recommended but not required. This sequence meets the general education requirement in civilization studies.
NEHC 20603,Civilization Studies,Islamic Thought and Literature III,100,"NEHC 30603,RLST 20403,SOSC 22200",A. El Shamsy,This course does not apply to the medieval studies major or minor.
SALC 20100,Civilization Studies,Introduction to the Civilizations of South Asia I,100,"ANTH 24101,HIST 10800,SASC 20000,SOSC 23000",M. Alam,
SALC 20200,Civilization Studies,Introduction to the Civilizations of South Asia II,100,"ANTH 24102,HIST 10900,SASC 20100,SOSC 23100",D. Chakrabarty,
SOSC 02980,Social Sciences,Practicum,025,HUMA 02980,D. Spatz,Must be taken for P/F grading; students who fail to complete the course requirements will receive an F on their transcript (no W will be granted). Students receive 025 units of credit at completion of course. Course meets once in Spring Quarter and once in Autumn Quarter. Course fee $150; students in need of financial aid should contact Jay Ellison at 702.8609.
SOSC 11100,Social Sciences,"Power, Identity, and Resistance I",100,,"G. Herrigel, Staff",
SOSC 11200,Social Sciences,"Power, Identity, and Resistance II",100,,"G. Herrigel, Staff",
SOSC 11300,Social Sciences,"Power, Identity, and Resistance III",100,,"G. Herrigel, Staff",
SOSC 12100,Social Sciences,"Self, Culture, and Society I",100,,Staff,
SOSC 12200,Social Sciences,"Self, Culture, and Society II",100,,Staff,
SOSC 12300,Social Sciences,"Self, Culture, and Society III",100,,Staff,
SOSC 13100,Social Sciences,Social Science Inquiry I,100,,"E. Oliver, Staff",
SOSC 13200,Social Sciences,Social Science Inquiry II,100,,"E. Oliver, Staff",
SOSC 13300,Social Sciences,Social Science Inquiry III,100,,"E. Oliver, Staff",
SOSC 14100,Social Sciences,Mind I,100,,"D. Gallo, Staff",
SOSC 14200,Social Sciences,Mind II,100,,"D. Gallo, Staff",
SOSC 14300,Social Sciences,Mind III,100,,"D. Gallo, Staff",
SOSC 15100,Social Sciences,Classics of Social and Political Thought I,100,,"N. Tarcov, Staff",
SOSC 15200,Social Sciences,Classics of Social and Political Thought II,100,,"S. Muthu, Staff",
SOSC 15300,Social Sciences,Classics of Social and Political Thought III,100,,"J. Pitts, Staff",
SOSC 21100,Social Sciences,Music in Western Civilization I: To 1750,100,"HIST 12700,MUSI 12100",A. Robertson,Prior music course or ability to read music not required. Students must confirm enrollment by attending one of the first two sessions of class. This two-quarter sequence meets the general education requirement in civilization studies; it does not meet the general education requirement in the arts.
SOSC 21200,Social Sciences,Music in Western Civilization II: 1750 to the Present,100,"HIST 12800,MUSI 12200",,Prior music course or ability to read music not required. Students must confirm enrollment by attending one of the first two sessions of class. This two-quarter sequence meets the general education requirement in civilization studies; it does not meet the general education requirement in the arts.
SOSC 22000,Social Sciences,Islamic Thought and Literature I,100,"NEHC 30601,RLST 20401,HIST 25610,HIST 35610,ISLM 30601,NEHC 20601",A. El Shamsy,
SOSC 22100,Social Sciences,Islamic Thought and Literature II,100,"NEHC 30602,RLST 20402,ISLM 30602,CMES 30602,NEHC 20602",F. Lewis,Taking these courses in sequence is recommended but not required. This sequence meets the general education requirement in civilization studies.
SOSC 22200,Social Sciences,Islamic Thought and Literature III,100,"NEHC 30603,RLST 20403,NEHC 20603",A. El Shamsy,This course does not apply to the medieval studies major or minor.
SOSC 23000,Social Sciences,Introduction to the Civilizations of South Asia I,100,"ANTH 24101,HIST 10800,SASC 20000,SALC 20100",M. Alam,
SOSC 23100,Social Sciences,Introduction to the Civilizations of South Asia II,100,"ANTH 24102,HIST 10900,SASC 20100,SALC 20200",D. Chakrabarty,
SOSC 23500,Social Sciences,Introduction to the Civilizations of East Asia I,100,"CRES 10800,EALC 10800,HIST 15100",G. Alitto,Taking these courses in sequence is not required.
SOSC 23600,Social Sciences,Introduction to the Civilizations of East Asia II,100,"CRES 10900,EALC 10900,HIST 15200",J. Ketelaar,Taking these courses in sequence is not required.
SOSC 23700,Social Sciences,Introduction to the Civilizations of East Asia III,100,"CRES 11000,EALC 11000,HIST 15300",B. Cumings,Taking these courses in sequence is not required.
SOSC 24000,Social Sciences,Introduction to Russian Civilization I,100,"REES 26011,HIST 13900","E. Gilburd, W. Nickell",Taking these courses in sequence is recommended but not required.
SOSC 24001,Social Sciences,Colonizations I,100,"CRES 24001,ANTH 24001,HIST 18301",,This sequence meets the general education requirement in civilization studies. This course is offered every year. These courses can be taken in any sequence.
SOSC 24002,Social Sciences,Colonizations II,100,"CRES 24002,ANTH 24002,HIST 18302",,This sequence meets the general education requirement in civilization studies. These courses can be taken in any sequence.
SOSC 24003,Social Sciences,Colonizations III,100,"CRES 24003,ANTH 24003,HIST 18303,SALC 20702",,This sequence meets the general education requirement in civilization studies. These courses can be taken in any sequence.
SOSC 24100,Social Sciences,Introduction to Russian Civilization II,100,"REES 26012,HIST 14000","R. Bird, E. Gilburd",Taking these courses in sequence is recommended but not required.
SOSC 25100,Social Sciences,Urban Structure and Process,100,"CRES 20104,GEOG 22700,GEOG 32700,SOCI 30104,SOCI 20104",F. Stuart,
SOSC 26100,Social Sciences,Introduction to Latin American Civilization I,100,"ANTH 23101,CRES 16101,HIST 16101,HIST 36101,LACS 34600,LACS 16100",A. Kolata,
SOSC 26200,Social Sciences,Introduction to Latin American Civilization II,100,"ANTH 23102,CRES 16102,HIST 16102,HIST 36102,LACS 34700,LACS 16200",D. Borges,
SOSC 26300,Social Sciences,Introduction to Latin American Civilization III,100,"ANTH 23103,CRES 16103,HIST 16103,HIST 36103,LACS 34800,LACS 16300",B. Fischer,
SOSC 26900,Social Sciences,The Complex Problem of World Hunger,100,"BPRO 24800,ENST 24800,BIOS 02810",J. Malamy,This course does not meet requirements for the biological sciences major.
SOSC 29500,Social Sciences,Readings in Social Sciences in a Foreign Language,100,,,
SOSC 29700,Social Sciences,Independent Study in the Social Sciences,100,,,Students are required to submit the College Reading and Research Course Form.
SOSC 29900,Social Sciences,BA Paper in Russian Civilization,100,,,Students are required to submit the College Reading and Research Course Form.
SOSC 34500,Social Sciences,Anthropology of Museums I,100,"ANTH 34502,CRES 34501,MAPS 34500,CHDV 34501,ANTH 24511",M. Fred,CHDV Distribution: C
SOSC 34600,Social Sciences,Anthropology of Museums II,100,"CRES 34502,ANTH 24512",M. Fred,
SOSC 39000,Social Sciences,Anthropology of Disability,100,,M. Fred,
CHEM 00111,Chemistry,Collaborative Learning in General Chemistry I,000,,B. Ratliff,Enrollment in CHEM 00111 is section specific: CHEM 11100-01 students should enroll in CHEM 00111-01 while CHEM 11100-02 students should enroll in CHEM 00111-02.
CHEM 00112,Chemistry,Collaborative Learning in General Chemistry II,000,,B. Ratliff,Enrollment in CHEM 00112 is section specific: CHEM 11200-01 students should enroll in CHEM 00112-01 while CHEM 11200-02 students should enroll in CHEM 00112-02. CHEM 00111 is not a prerequisite for this course.
CHEM 00113,Chemistry,Collaborative Learning in General Chemistry III,000,,B. Ratliff,Enrollment in CHEM 00113 is section specific: CHEM 11300-01 students should enroll in CHEM 00113-01 while CHEM 11300-02 students should enroll in CHEM 00113-02. CHEM 00111 and CHEM 00112 are not prerequisites for this course.
CHEM 00220,Chemistry,Collaborative Learning in Organic Chemistry I,000,,B. Ratliff,
CHEM 00221,Chemistry,Collaborative Learning in Organic Chemistry II,000,,B. Ratliff,CHEM 00220 is not a prerequisite for this course.
CHEM 00222,Chemistry,Collaborative Learning in Organic Chemistry III,000,,B. Ratliff,CHEM 00220 and CHEM 00221 are not prerequisites for this course.
CHEM 10100,Chemistry,Introductory General Chemistry I,100,,Staff. L: M. Zhao.,Enrollment by placement only. The first two courses in this sequence meet the general education requirement in the physical sciences.
CHEM 10200,Chemistry,Introductory General Chemistry II,100,,Staff. L: M. Zhao.,Enrollment by placement only. The first two courses in this sequence meet the general education requirement in the physical sciences.
CHEM 11100,Chemistry,Comprehensive General Chemistry I,100,,"N. Scherer, D. Mazziotti. L: M. Zhao",Enrollment by placement only. The first two courses in this sequence meet the general education requirement in the physical sciences.
CHEM 11200,Chemistry,Comprehensive General Chemistry II,100,,"G. Engel, B. Tian. L: M. Zhao.",Enrollment by placement only. The first two courses in this sequence meet the general education requirement in the physical sciences.
CHEM 11300,Chemistry,Comprehensive General Chemistry III,100,,"K.Y.C. Lee, B.Roux. L: M. Zhao",Enrollment by placement only. The first two courses in this sequence meet the general education requirement in the physical sciences.
CHEM 12100,Chemistry,Honors General Chemistry I,100,,S. Sibener. L: M. Zhao,Enrollment by placement only. The first two courses in this sequence meet the general education requirement in the physical sciences.
CHEM 12200,Chemistry,Honors General Chemistry II,100,,A. Tokmakoff.  L: M. Zhao,Enrollment by placement only. The first two courses in this sequence meet the general education requirement in the physical sciences.
CHEM 12300,Chemistry,Honors General Chemistry III,100,,G. Voth. L: M. Zhao,Enrollment by placement only. The first two courses in this sequence meet the general education requirement in the physical sciences.
CHEM 20100,Chemistry,Inorganic Chemistry I,100,,D. Talapin,
CHEM 20200,Chemistry,Inorganic Chemistry II,100,,R. Jordan,
CHEM 22000,Chemistry,Organic Chemistry I,100,,V. Rawal. L: V. Keller,Students who receive a grade of B+ or higher in CHEM 22000 have the option of moving into honors organic chemistry for Winter/Spring. See following listing for CHEM 23100-23200. NOTE: Most medical schools require a full academic year of organic chemistry. A lab is one afternoon a week in addition to scheduled class time each quarter.
CHEM 22100,Chemistry,Organic Chemistry II,100,,L. Yu.  L: V. Keller,(Students who receive a grade of B+ or higher in CHEM 22000 have the option of moving into honors organic chemistry for Winter/Spring. See following listing for CHEM 23100-23200. NOTE: Most medical schools require a full academic year of organic chemistry. A lab is one afternoon a week in addition to scheduled class time each quarter.
CHEM 22200,Chemistry,Organic Chemistry III,100,,J. Piccirilli. L: V. Keller,Students who receive a grade of B+ or higher in CHEM 22000 have the option of moving into honors organic chemistry for Winter/Spring. See following listing for CHEM 23100-23200.) NOTE: Most medical schools require a full academic year of organic chemistry. A lab is one afternoon a week in addition to scheduled class time each quarter.
CHEM 22700,Chemistry,Advanced Organic/Inorganic Laboratory,100,,M. Hopkins,
CHEM 23000,Chemistry,Honors Organic Chemistry I,100,,Y. Krishnan. L: V. Keller,Students who have taken CHEM 22000 or 22100 with an average grade of B+ or higher may petition the department to move into the Honors sequence. Most medical schools require a full academic year of organic chemistry. A lab is one afternoon a week in addition to scheduled class time each quarter.
CHEM 23100,Chemistry,Honors Organic Chemistry II,100,,S. Kozmin. L: V. Keller,Students who have taken CHEM 22000 or 22100 with an average grade of B+ or higher may petition the department to move into the Honors sequence. Most medical schools require a full academic year of organic chemistry. A lab is one afternoon a week in addition to scheduled class time each quarter.
CHEM 23200,Chemistry,Honors Organic Chemistry III,100,,J. Lewis.  L: V. Keller,
CHEM 23300,Chemistry,Organic Chemistry of Proteins,100,,S. Kent,
CHEM 26100,Chemistry,Quantum Mechanics,100,,K.Y.C. Lee,
CHEM 26200,Chemistry,Thermodynamics,100,,P. Guyot-Sionnest,
CHEM 26300,Chemistry,Chemical Kinetics and Dynamics,100,,L. Butler,
CHEM 26700,Chemistry,Experimental Physical Chemistry,100,,N. Scherer,
CHEM 26800,Chemistry,Computational Chemistry and Biology,100,,A. Dinner,
CHEM 29600,Chemistry,Research in Chemistry,000,,K.Y.C. Lee,Graded P/F; Students are required to submit the College Reading/Research Course Form
CHEM 29900,Chemistry,Advanced Research in Chemistry,100,,,Open only to students majoring in chemistry who are eligible for honors. Available for either quality grades or for P/F grading. Students are required to submit the College Reading and Research Course Form.
CHEM 30100,Chemistry,Advanced Inorganic Chemistry,100,,W. Lin,
CHEM 30200,Chemistry,Synthesis and Physical Methods in Inorganic Chemistry,100,,W. Lin,
CHEM 30400,Chemistry,Organometallic Chemistry,100,,J. Anderson,
CHEM 30500,Chemistry,Nanoscale Materials,100,,B. Tian,
CHEM 30600,Chemistry,Chemistry of the Elements and Materials,100,,J. Anderson,
CHEM 30900,Chemistry,Bioinorganic Chemistry,100,,C. He,
CHEM 31100,Chemistry,Supramolecular Chemistry,100,,,
CHEM 32100,Chemistry,Physical Organic Chemistry I,100,,L. Yu,
CHEM 32200,Chemistry,Organic Synthesis and Structure,100,,S. Kozmin,
CHEM 32300,Chemistry,Strategies and Tactics of Organic Synthesis,100,,S. Snyder,
CHEM 32400,Chemistry,Physical Organic Chemistry II,100,,,
CHEM 32500,Chemistry,Bioorganic Chemistry,100,BCMB 32500,,
CHEM 32900,Chemistry,Polymer Chemistry,100,,,
CHEM 33000,Chemistry,Complex Chemical Systems,100,,,
CHEM 33100,Chemistry,New Synthetic Reactions and Catalysts,100,,,
CHEM 33200,Chemistry,Chemical Biology I,100,,B. Dickinson,
CHEM 33300,Chemistry,Chemical Biology II,100,,R. Moellering,
CHEM 33400,Chemistry,High-Throughput Methods in Chemistry,100,,,
CHEM 36100,Chemistry,Wave Mechanics and Spectroscopy,100,,L. Butler,
CHEM 36200,Chemistry,Quantum Mechanics,100,,G. Voth,
CHEM 36300,Chemistry,Statistical Thermodynamics,100,,S. Vaikuntanathan,
CHEM 36400,Chemistry,Advanced Statistical Mechanics,100,,D. Mazziotti,
CHEM 36500,Chemistry,Chemical Dynamics,100,,S. Sibener,
CHEM 36800,Chemistry,Advanced Computational Chemistry and Biology,100,,K. Freed,This course may not be used to meet requirements for the BS degree.
CHEM 36900,Chemistry,Materials Chemistry,100,,,
CHEM 37100,Chemistry,Advanced Spectroscopies,100,,,
CHEM 37200,Chemistry,Statistical Mechanics of Polymers/Glasses,100,,,
CHEM 38700,Chemistry,Biophysical Chemistry,100,,A. Tokmakoff,
CHEM 51100,Chemistry,Scientific Methods and Ethics,100,,,
BANG 10100,South Asian Languages and Civilizations,First-Year Bangla (Bengali) I,100,,Staff,
BANG 10200,South Asian Languages and Civilizations,First-Year Bangla (Bengali) II,100,,Staff,
BANG 10300,South Asian Languages and Civilizations,First-Year Bangla (Bengali) III,100,,Staff,
BANG 20100,South Asian Languages and Civilizations,Second-Year Bangla (Bengali) I,100,,Staff,
BANG 20200,South Asian Languages and Civilizations,Second-Year Bangla (Bengali) II,100,,Staff,
BANG 20300,South Asian Languages and Civilizations,Second-Year Bangla (Bengali) III,100,,Staff,
HIND 10100,South Asian Languages and Civilizations,First-Year Hindi I,100,,J. Grunebaum,
HIND 10200,South Asian Languages and Civilizations,First-Year Hindi II,100,,J. Grunebaum,
HIND 10300,South Asian Languages and Civilizations,First-Year Hindi III,100,,J. Grunebaum,
HIND 20100,South Asian Languages and Civilizations,Second-Year Hindi I,100,,J. Grunebaum,
HIND 20200,South Asian Languages and Civilizations,Second-Year Hindi II,100,,Staff,
HIND 20300,South Asian Languages and Civilizations,Second-Year Hindi III,100,,J. Grunebaum,
MARA 10100,South Asian Languages and Civilizations,First-Year Marathi I,100,,P. Engblom,
MARA 10200,South Asian Languages and Civilizations,First-Year Marathi II,100,,P. Engblom,
MARA 10300,South Asian Languages and Civilizations,First-Year Marathi III,100,,P. Engblom,
MARA 20100,South Asian Languages and Civilizations,Second-Year Marathi I,100,,P. Engblom,
MARA 20200,South Asian Languages and Civilizations,Second-Year Marathi II,100,,P. Engblom,
