,course_title,course_unit,equivalent_courses,instructors,notes
ENGL 17814,Framing the Nation in the Long Eighteenth Century,100,,L. Schachter,
ENGL 17950,The Declaration of Independence,100,"FNDL 27950,HIST 17604,HMRT 17950,LLSO 27950",E. Slauter,
ENGL 18108,Culture and the Police,100,,C. Taylor,
ENGL 19204,Experiments in Epic Poetry,100,,A. Chema,
ENGL 20024,"Nabokov's Ada, or Ardor",100,"REES 30024,FNDL 20024,REES 20024",Malynne Sternstein,
ENGL 20140,London Program: From Industrial City to Financial Center,100,,E. Hadley,
ENGL 20141,"London Program: Theatre, Heritage & Urban Life in London",100,,L. Kruger,
ENGL 20142,London Program: Producing London,100,,S. Kunjummen,
ENGL 20143,London Program: Archaeological Imagination in English Culture,100,,L. Rothfield,
ENGL 20212,Romantic Natures,100,,T. Campbell,
ENGL 20225,"Radical Romanticism: Poetry, Piracy, Pornography",100,,E. Powell,
ENGL 20850,Nonsense Literature,100,,P. McDonald,
ENGL 20906,Romantic Endangerment,100,,A. Chema,
ENGL 21006,Joseph Conrad's The Secret Agent: A Simple Tale,100,"REES 31006,FNDL 21006,ENGL 31006,REES 21006",Bożena Shallcross,English majors: this course fulfills the Fiction (B) distribution requirement.
ENGL 21102,Introduction to Postcolonial Literature and Theory,100,,R. Oh,
ENGL 21106,Social Fact/Human Feeling: Documentary Form and American Lit,100,,I. Becker,
ENGL 21110,Imagining Futures: Speculative Design and Social Justice,100,"ENGL 31110,ARTV 21110,ARTV 31110,CMST 21110,CMST 31110,TAPS 28432,TAPS 38432",P. Jagoda and T. Soundararajan,
ENGL 21118,Advanced Study Theater: Games & Performance,100,"CMST 28810,TAPS 28810","P. Jagoda, H. Coleman",Independent Study for those with advanced experience in theater. These courses are designed for students wishing to pursue self-motivated study in a specific field of theater/performance. Intensive study and reading is expected. Faculty advisor required. Completed forms to be submitted to the TAPS office by the end of first week of quarter of enrollment can be found at tapscourses.uchicago.edu
ENGL 21301,James Joyce's Ulysses,100,FNDL 21300,S. Meredith,
ENGL 21924,Victorian Death and the Thinking Body,100,,D. Womble,
ENGL 22404,Mixed Media Modernisms,100,,R. Kyne,
ENGL 22903,Literature of the City: Between Utopia and Dystopia,100,,J. Scappettone,
ENGL 23350,True Crime,100,ENGL 32350,D. Nelson,
ENGL 23400,Virginia Woolf,100,"GNSE 23400,FNDL 24011",L. Ruddick,
ENGL 24005,A Couple Openended Novels,100,FNDL 21320,S. Meredith,
ENGL 24205,Junior Seminar: Romantic Fiction and the Historical Novel,100,,T. Campbell,For third-year English majors only.
ENGL 24210,Irish Fiction,100,,M. Ellmann,
ENGL 24212,The Chicano Novel and American Literary History,100,CRES 24212,J. Arellano,
ENGL 24260,Anxiety,100,"GRMN 26715,MAPH 36750,BPRO 26750","M. Sternstein, A. Flannery",English majors: This course fulfills the 1830-1940 (G) and Theory (H) distribution requirements.
ENGL 24320,Americans Abroad in the Cold War,100,,A. Swain,
ENGL 24650,Show and Tell,100,,R. Bayne,
ENGL 24810,AfroSF,100,CRES 24810,B. Smith,
ENGL 24812,J.M. Coetzee,100,,B. Smith,
ENGL 24951,"Animals, Ethics, and Religion",100,RLST 28020,K. Mershon,"Religious Studies majors and minors may petition to have this course counted towards the Constructive Studies requirement rather than the Cultural Studies requirement.,,English majors: this course meets the Fiction (B) distribution requirement."
ENGL 25011,"Migrations, Refugees, Races",100,"ENGL 36183,LACS 26183,CRES 25011,CRES 36183",E. Garcia,
ENGL 25013,Literature of the Refugee,100,,H. Bakara,
ENGL 25413,The American West,100,,J. Knight,
ENGL 25422,American Fortunes,100,,K. Kimura,
ENGL 25601,Nineteenth Century American Gothic,100,,W. Veeder,
ENGL 26250,Richer and Poorer: Income Inequality,100,"ENGL 36250,SIGN 26004",E. Hadley,
ENGL 26300,"The Literature of Disgust, Rabelais to Nausea",100,CMLT 26301,Z. Samalin,
ENGL 26405,Nineteenth-Century Environmental Thought,100,ENST 26405,B. Morgan,
ENGL 26406,"Ecopoetics: Nature, Lyric, and Ecology",100,"ENST 24104,GLST 24104",Joseph Moctezuma,
ENGL 26950,Race and the U.S. Novel,100,CRES 26950,R. So,
ENGL 27003,Woman/Native,100,"CMLT 27003,CRES 27013,GNSE 27013",S. Thakkar,
ENGL 27316,"The Global South: Knowledge, Culture, Aesthetics",100,"CRES 24106,GLST 24106",Peter Lido,
ENGL 27500,Modernism and the Harlem Renaissance: Issues and Methods,100,,K. Warren,
ENGL 27650,Literary Modernism and the Cinema,100,,S. Withers,
ENGL 28613,Poetry of the Americas,100,"AMER 28613,LACS 28613,LACS 38613,ENGL 38613",R. Galvin,
ENGL 28614,Contemporary Latina/o Poetry,100,LACS 28614,R. Galvin,
ENGL 28618,Global Anglophone Literature,100,CRES 28618,H. Bakara,
ENGL 28750,The Beats: Literature and Counterculture,100,,A. Peart,
ENGL 28780,American Cultures After 1945,100,"GNSE 28780,CRES 28780",M. Dango,
ENGL 28816,Scenes of Chicago Housing,100,,A. Brown,
ENGL 28912,War and Peace,100,"REES 30001,CMLT 22301,CMLT 32301,FNDL 27103,HIST 23704,ENGL 32302,REES 20001",William Nickell,
ENGL 28918,Comparative Methods in the Humanities,100,"REES 29813,CMLT 20109",Olga Solovieva,
ENGL 29300,History of International Cinema I: Silent Era,100,"ARTH 28500,ARTH 38500,ARTV 26500,ARTV 36500,CMLT 22400,CMLT 32400,CMST 48500,ENGL 48700,MAPH 36000,CMST 28500",T. Gunning,This is the first part of a two-quarter course.
ENGL 29400,Imagining the Present in the Late Twentieth Century,100,,J. Tremblay,
ENGL 29600,History of International Cinema II: Sound Era to 1960,100,"ARTH 28600,ARTH 38600,ARTV 26600,CMLT 22500,CMLT 32500,CMST 48600,ENGL 48900,MAPH 33700,CMST 28600",D. Morgan,CMST 28500/48500 strongly recommended
ENGL 29700,Reading Course,100,,,
ENGL 29900,Independent BA Paper Preparation,100,,,
CLCV 14113,Introduction to Roman Art and Archaeology,100,ARTH 14105,P. Crowley,"For nonmajors, this course meets the general education requirement in the arts."
CLCV 20200,"North Africa, Late Antiquity to Islam",100,"CLAS 30200,CMES 30634,CRES 25701,HIST 35701,NEHC 20634,NEHC 30634,HIST 25701",W. Kaegi,
CLCV 20700,Ancient Mediterranean World I,100,HIST 16700,"J. Hall, Staff",This sequence meets the general education requirement in civilization studies.
CLCV 20800,Ancient Mediterranean World II,100,HIST 16800,"C. Ando, Staff",This sequence meets the general education requirement in civilization studies.
CLCV 20900,Ancient Mediterranean World III,100,HIST 16900,W. Kaegi,This sequence meets the general education requirement in civilization studies.
CLCV 21807,Greek Art and Archaeology,100,ARTH 14107,R. Neer,"For nonmajors, this course meets the general education requirement in the arts."
CLCV 21812,Greek Art and Archaeology I: From the Bronze Age to the Persian Wars,100,ARTH 14307,R. Neer,"Students must attend first class to confirm enrollment. For nonmajors, any ARTH 14000 through 16999 course meets the general education requirement in the arts. This course is the first of a two-course sequence; registration in the second course is not required for participation in the first."
CLCV 22700,History of Philosophy I: Ancient Philosophy,100,PHIL 25000,G. Lear,Students should register via discussion section.
CLCV 22914,The Italian Renaissance,100,"HIST 32900,CLAS 32914,ITAL 22914,ITAL 32914,HCHR 32900,HIST 22900",A. Palmer,
CLCV 23315,"History of Skepticism, Pre-Socratic Greece to Enlightenment",100,CLAS 33315,A. Palmer,
CLCV 23712,"Aquinas on God, Being, and Human Nature",100,"RLST 23605,FNDL 20700",S. Meredith,Required of all incoming Fundamentals majors
CLCV 24113,The Archaeology of Death in Ancient Rome,100,ARTH 24105,P. Crowley,
CLCV 24115,Roman Art I: Republican and Early Imperial Art and Architecture,100,ARTH 14115,P. Crowley,"For nonmajors, this course meets the general education requirement in the arts."
CLCV 24215,Roman Art II: Late Antique and Early Christian Art and Architecture,100,ARTH 14215,P. Crowley,"For nonmajors, this course meets the general education requirement in the arts."
CLCV 24306,"Byzantine Empire, 330–610",100,"CLAS 34306,HIST 31701,ANCM 34306,HIST 21701",W. Kaegi,
CLCV 24307,"Byzantine Empire, 610–1025",100,"CLAS 34307,HIST 31702,NEHC 21702,NELC 31702,ANCM 34307,HIST 21702",W. Kaegi,"Graduate students may register for grade of R (audit) or P (Pass) instead of a letter grade, except for History graduate students taking this as a required course."
CLCV 24515,Money and the Ancient Greek World,100,CLAS 44515,A. Bresson.,"Crosslisted: CLCV 24515, CLAS 34515"
CLCV 24716,Roman Philosophers on the Fear of Death,100,"CLAS 34716,LAWS 96305,RETH 30710,PHIL 30710,PLSC 22210,PLSC 32210,PHIL 20710",M. Nussbaum,
CLCV 25510,Homer's Odyssey,100,FNDL 21901,W. Olmsted,
CLCV 25516,Strabo’s World: Early Geographic Traditions,100,CLAS 35516,,
CLCV 25700,Ancient Empires I,100,"HIST 15602,NEHC 30011,NEHC 20011",H. Haroutunian,Taking these courses in sequence is not required. This sequence meets the general education requirement in civilization studies.
CLCV 25716,Egypt in Late Antiquity,100,"NELC 20287,NELC 30287,CLAS 35716",S. Toralles-Tovar.,
CLCV 25800,Ancient Empires II: The Ottoman Empire,100,"HIST 15603,NEHC 30012,NEHC 20012",H. Karateke,Taking these courses in sequence is not required. This sequence meets the general education requirement in civilization studies.
CLCV 25900,Ancient Empires III: The Egyptian Empire of the New Kingdom,100,"HIST 15604,NEHC 30013,NEHC 20013",N. Moeller,Taking these courses in sequence is not required. This sequence meets the general education requirement in civilization studies.
CLCV 26016,Epicureanism,100,"BIBL 36016,CLAS 36016",Elizabeth Asmis,
CLCV 26200,Pagans and Christians: Greek Backgrounds to Early Christianity,100,"CLAS 36200,RLST 20505",D. Martinez,
CLCV 26601,The Ancient City: The Greek World,100,HIST 16601,J. Hall,
CLCV 26916,Aztecs and Romans: Antiquity in the Making of Modern Mexico,100,"KNOW 23001,LACS 26123,HIST 26123",S. McManus,"Taught by Stuart McManus, postdoctoral fellow, Stevanovich Institute on the Formation of Knowledge"
CLCV 27116,The Greek Countryside,100,CLAS 37116,C. Kearns,
CLCV 27716,"Exemplary Leaders: Livy, Plutarch, and Machiavelli",100,"PLSC 47703,CLAS 37716,FNDL 27716,PLSC 27703","J. McCormick, M. Lowrie",
CLCV 28300,Ephron Seminar,100,,,"The goal of this annual seminar of changing context is to promote innovative course design. Examples of past topics are gender, death, violence, and law in the ancient world."
CLCV 28316,Ephron Seminar: The Fall of the Roman Republic,100,,J. Mebane,
CLCV 28716,The Roman Republic in Law and Literature,100,"CLAS 38716,HIST 21007,HIST 31007",C. Ando,
CLCV 29113,Myth Course,100,,Staff,
CLCV 29700,Reading Course,100,,,Students are required to submit the College Reading and Research Course Form.
CLCV 29800,BA Paper Seminar,100,,,
GREK 10100,Introduction to Attic Greek I,100,,Staff,Knowledge of Greek not required.
GREK 10200,Introduction to Attic Greek II,100,,,
GREK 10300,Introduction to Attic Greek III: Prose,100,,,
GREK 11100,Accelerated Introduction to Attic Greek I,100,,H. Dik,
GREK 11200,Accelerated Introduction to Attic Greek II,100,,D. Martinez,
GREK 11300,Accelerated Introduction to Attic Greek III,100,,,
GREK 20100,Intermediate Greek I: Plato,100,,H. Dik.,
GREK 20200,Intermediate Greek II: Sophocles,100,,Staff,
GREK 20300,Intermediate Greek III: Homer,100,,Staff,
GREK 21116,Herodotus,100,GREK 31116,H. Dik,
GREK 21200,Philosophy:  Plato's Phaedrus,100,"BIBL 31200,GREK 31200,FNDL 21005",E. Asmis,
GREK 21216,Greek Philosophy,100,GREK 31216,E. Asmis,
GREK 21300,Tragedy,100,"GREK 31300,BIBL 31300",E. Asmis,
GREK 21700,Lyric and Epinician Poetry,100,GREK 31700,,
GREK 21800,Greek Epic,100,GREK 31800,,
GREK 21900,Greek Oratory,100,GREK 31900,,
GREK 22314,Hellenistic/Imperial Literature,100,GREK 32314,,
GREK 22400,Greek Comedy: Aristophanes,100,"GREK 32400,HIST 20403,HIST 30403",,
GREK 22500,Greek Historians: Herodotus,100,GREK 32500,,
GREK 23116,Plato as a Socratic,100,GREK 33116,J. Redfield,
GREK 24500,Justin Martyr,100,"GREK 34500,FNDL 24504,BIBL 41801,NTEC 41801",D. Martinez,
GREK 25000,Mastering Greek,100,GREK 35000,,
GREK 25116,Reading Greek Literature in the Papyri,100,"GREK 35116,BIBL 36916,HCHR 36916",,
GREK 25615,History of the Greek Language,100,GREK 35615,S. Torallas-Tovar,
GREK 29700,Reading Course,100,,,
LATN 10100,Introduction to Classical Latin I,100,,,
LATN 10200,Introduction to Classical Latin II,100,,S. Torallas Tovar,
LATN 10300,Introduction to Classical Latin III,100,,,
LATN 11100,Accelerated Introduction to Classical Latin I,100,,,
LATN 11200,Accelerated Introduction to Classical Latin II,100,,,
LATN 11300,Accelerated Introduction to Classical Latin III,100,,,
LATN 20100,Intermediate Latin I: Cicero,100,,M. Allen.,
LATN 20200,Intermediate Latin II: Aeneid,100,,P. White.,
LATN 20300,Intermediate Latin III: Seneca,100,,,
LATN 21100,Roman Elegy,100,"CMLT 21101,CMLT 31101,LATN 31100",David Wray,
LATN 21200,Roman Novel,100,LATN 31200,C. Ando,
LATN 21300,Vergil,100,"FNDL 25201,LATN 31300",S. Bartsch-Zimmer,
LATN 21700,Post-Virgilian Epic,100,LATN 31700,,
LATN 21800,Roman Historian,100,LATN 31800,,
LATN 21900,Roman Comedy,100,LATN 31900,,
LATN 22100,Lucretius,100,"LATN 32100,FNDL 24212",,
LATN 22200,Roman Satire,100,LATN 32200,,
LATN 22300,Roman Oratory,100,LATN 32300,,
LATN 25000,Augustine's Confessions,100,"FNDL 24310,LATN 35000",P. White,
LATN 26000,Latin Paleography,100,LATN 36000,M. Allen,
LATN 29700,Reading Course,100,,,
PHYS 12100,General Physics I,100,,,
PHYS 12200,General Physics II,100,,,
PHYS 12300,General Physics III,100,,,
PHYS 13100,Mechanics,100,,,
PHYS 13200,Electricity and Magnetism,100,,,
PHYS 13300,"Waves, Optics, and Heat",100,,,
PHYS 14100,Honors Mechanics,100,,Staff,
PHYS 14200,Honors Electricity and Magnetism,100,,,
PHYS 14300,"Honors Waves, Optics, and Heat",100,,,
PHYS 15400,Modern Physics,100,,,
PHYS 18500,Intermediate Mechanics,100,,,
PHYS 19700,Statistical and Thermal Physics,100,,,
PHYS 21101,Experimental Physics I,100,,,
PHYS 21102,Experimental Physics II,100,,,
PHYS 21103,Experimental Physics III,100,,,
PHYS 22000,Introduction to Mathematical Methods in Physics,100,,,
PHYS 22100,Mathematical Methods in Physics,100,,,
PHYS 22500,Intermediate Electricity and Magnetism I,100,,,
PHYS 22600,Electronics,100,,,
PHYS 22700,Intermediate Electricity and Magnetism II,100,,,
PHYS 23400,Quantum Mechanics I,100,,,
PHYS 23500,Quantum Mechanics II,100,,,
PHYS 23600,Solid State Physics,100,,,
PHYS 23700,Nuclei and Elementary Particles,100,,,
PHYS 24500,Relativistic Quantum Mechanics and Introduction to String Theory,100,,,
PHYS 25000,Computational Physics,100,,,
PHYS 26000,Fluid Dynamics,100,,,
PHYS 26400,Spacetime and Black Holes,100,,,
PHYS 29100,Bachelor's Thesis,100,,,
PHYS 29200,Bachelor's Thesis,100,,,
PHYS 29300,Bachelor's Thesis,100,,,
PHYS 29700,Participation in Research,100,,,Students are required to submit the College Reading and Research Course Form. May be taken for P/F grading with consent of instructor.
CRES 24001,Colonizations I,100,"ANTH 24001,HIST 18301,SOSC 24001",,This sequence meets the general education requirement in civilization studies. This course is offered every year. These courses can be taken in any sequence.
CRES 24002,Colonizations II,100,"ANTH 24002,HIST 18302,SOSC 24002",,This sequence meets the general education requirement in civilization studies. These courses can be taken in any sequence.
CRES 24003,Colonizations III,100,"ANTH 24003,HIST 18303,SALC 20702,SOSC 24003",,This sequence meets the general education requirement in civilization studies. These courses can be taken in any sequence.
EALC 10800,Introduction to the Civilizations of East Asia I,100,"CRES 10800,SOSC 23500,HIST 15100",G. Alitto,Taking these courses in sequence is not required.
EALC 10900,Introduction to the Civilizations of East Asia II,100,"CRES 10900,SOSC 23600,HIST 15200",J. Ketelaar,Taking these courses in sequence is not required.
EALC 11000,Introduction to the Civilizations of East Asia III,100,"CRES 11000,SOSC 23700,HIST 15300",B. Cumings,Taking these courses in sequence is not required.
GNSE 15002,Gender and Sexuality in World Civilizations I,100,,Staff,This sequence meets the general education requirement in civilization studies.
GNSE 15003,Gender and Sexuality in World Civilizations II,100,,Staff,This sequence meets the general education requirement in civilization studies.
HIPS 17300,"Science, Culture, and Society in Western Civilization I",100,HIST 17300,J. Wee,
HIPS 17400,"Science, Culture, and Society in Western Civilization II",100,HIST 17400,R. Richards,
HIPS 17402,"Science, Culture, and Society in Western Civilization II: History of Medicine 1",100,HIST 17402,,
HIPS 17501,"Science, Culture, and Society in Western Civilization III: Medicine since the Renaissance",100,HIST 17501,,
HIPS 17502,"Science, Culture, and Society in Western Civilization IV: Modern Science",100,HIST 17502,J. Evans,
HIPS 17503,"Science, Culture, and Society in Western Civilization III: History of Medicine 2",100,HIST 17503,,
HIST 10101,Introduction to African Civilization I,100,"ANTH 20701,CRES 20701",E. Osborn,Taking these courses in sequence is recommended but not required; this sequence meets the general education requirement in civilization studies.
HIST 10102,Introduction to African Civilization II,100,"ANTH 20702,CHDV 21401,CRES 20802",J. Cole,Taking these courses in sequence is recommended but not required; this sequence meets the general education requirement in civilization studies. CHDV Distribution C*.
HIST 13001,History of European Civilization I,100,,"F. Albritton Jonsson, C. Fasolt, J. Lyon, J. Padgett, A. Palmer, N. Ristuccia, Staff",
HIST 13002,History of European Civilization II,100,,"J. Goldstein, F. Hillis, N. Ristuccia, Staff",
HIST 13003,History of European Civilization III,100,,"N. Ristuccia, Staff",Students who plan to complete a three-quarter sequence register for HIST 13003 in Spring Quarter after completing HIST 13001-13002. Students may not combine HIST 13003 with one other quarter of European Civilization to construct a two-quarter sequence.
HIST 13100,History of Western Civilization I,100,,"K. Weintraub, Autumn; J. Boyer, Summer",
HIST 13200,History of Western Civilization II,100,,"K. Weintraub, Winter, Summer",
HIST 13300,History of Western Civilization III,100,,"K. Weintraub, Spring; D. Koehler, Summer",
HIST 13500,America in World Civilization I,100,,"E. Cook, Staff",
HIST 13600,America in World Civilization II,100,,"A. Green, A. Lippert, A. Stanley, Staff",
HIST 13700,America in World Civilization III,100,,"K. Belew, J. Dailey, J. Sparrow",
HIST 13900,Introduction to Russian Civilization I,100,"SOSC 24000,REES 26011","E. Gilburd, W. Nickell",Taking these courses in sequence is recommended but not required.
HIST 14000,Introduction to Russian Civilization II,100,"SOSC 24100,REES 26012","R. Bird, E. Gilburd",Taking these courses in sequence is recommended but not required.
HIST 16700,Ancient Mediterranean World I,100,CLCV 20700,"J. Hall, Staff",This sequence meets the general education requirement in civilization studies.
HIST 16800,Ancient Mediterranean World II,100,CLCV 20800,"C. Ando, Staff",This sequence meets the general education requirement in civilization studies.
HIST 16900,Ancient Mediterranean World III,100,CLCV 20900,W. Kaegi,This sequence meets the general education requirement in civilization studies.
HMRT 10100,Human Rights in World Civilizations I,100,,M. Bradley and S. Thakkar,This sequence meets the general education requirement in civilization studies. These courses must be taken in sequence.
HMRT 10200,Human Rights in World Civilizations II,100,,B. Laurence and Staff,This sequence meets the general education requirement in civilization studies. These courses must be taken in sequence; students must have taken HMRT 10100 to enroll in this course.
LACS 16100,Introduction to Latin American Civilization I,100,"ANTH 23101,CRES 16101,HIST 16101,HIST 36101,LACS 34600,SOSC 26100",A. Kolata,
LACS 16200,Introduction to Latin American Civilization II,100,"ANTH 23102,CRES 16102,HIST 16102,HIST 36102,LACS 34700,SOSC 26200",D. Borges,
LACS 16300,Introduction to Latin American Civilization III,100,"ANTH 23103,CRES 16103,HIST 16103,HIST 36103,LACS 34800,SOSC 26300",B. Fischer,
MUSI 12100,Music in Western Civilization I: To 1750,100,"HIST 12700,SOSC 21100",A. Robertson,Prior music course or ability to read music not required. Students must confirm enrollment by attending one of the first two sessions of class. This two-quarter sequence meets the general education requirement in civilization studies; it does not meet the general education requirement in the arts.
MUSI 12200,Music in Western Civilization II: 1750 to the Present,100,"HIST 12800,SOSC 21200",,Prior music course or ability to read music not required. Students must confirm enrollment by attending one of the first two sessions of class. This two-quarter sequence meets the general education requirement in civilization studies; it does not meet the general education requirement in the arts.
NEHC 20001,Ancient Near Eastern History and Society I: Egypt,100,NEHC 30001,"J. Johnson, B. Muhs",
NEHC 20002,Ancient Near Eastern History and Society II: Mesopotamia,100,NEHC 30002,R. Payne,
NEHC 20003,Ancient Near Eastern History and Society III: Anatolia and Levant,100,,P. Goedegebuure,
NEHC 20004,Ancient Near Eastern Thought and Literature I: Mesopotamian Literature,100,NEHC 30004,S. Paulus,Taking these courses in sequence is not required. This sequence meets the general education requirement in civilization studies.
NEHC 20005,Ancient Near Eastern Thought and Literature II: Anatolian Literature,100,NEHC 30005,H. Haroutunian,Taking these courses in sequence is not required. This sequence meets the general education requirement in civilization studies
NEHC 20006,Ancient Near Eastern Thought and Literature III: Egypt,100,NEHC 30006,B. Muhs,Taking these courses in sequence is not required. This sequence meets the general education requirement in civilization studies
NEHC 20011,Ancient Empires I,100,"CLCV 25700,HIST 15602,NEHC 30011",H. Haroutunian,Taking these courses in sequence is not required. This sequence meets the general education requirement in civilization studies.
NEHC 20012,Ancient Empires II: The Ottoman Empire,100,"CLCV 25800,HIST 15603,NEHC 30012",H. Karateke,Taking these courses in sequence is not required. This sequence meets the general education requirement in civilization studies.
NEHC 20013,Ancient Empires III: The Egyptian Empire of the New Kingdom,100,"CLCV 25900,HIST 15604,NEHC 30013",N. Moeller,Taking these courses in sequence is not required. This sequence meets the general education requirement in civilization studies.
NEHC 20416,"Semitic Languages, Cultures, and Civilizations I",100,"HIST 15702,NEHC 30416",S. Paulus,
NEHC 20417,"Semitic Languages, Cultures, and Civilizations II",100,"HIST 15703,NEHC 30417",H. Reculeau,Not open to first-year students
NEHC 20418,"Semitic Languages, Cultures, and Civilizations III",100,,,
NEHC 20501,Islamic History and Society I: The Rise of Islam and the Caliphate,100,"NEHC 30501,HIST 25704,HIST 35704,ISLM 30500,RLST 20501",F. Donner,Taking these courses in sequence is recommended but not required. This sequence meets the general eduation requirement in civilization studies.
NEHC 20502,Islamic History and Society II: The Middle Period,100,"NEHC 30502,HIST 25804,HIST 35804,ISLM 30600",J. Woods,
NEHC 20503,Islamic History and Society III: The Modern Middle East,100,"HIST 25904,HIST 35904,ISLM 30700,NEHC 30503",A. Shissler,This course does not apply to the medieval studies major or minor.
NEHC 20601,Islamic Thought and Literature I,100,"NEHC 30601,RLST 20401,SOSC 22000,HIST 25610,HIST 35610,ISLM 30601",A. El Shamsy,
NEHC 20602,Islamic Thought and Literature II,100,"NEHC 30602,RLST 20402,SOSC 22100,ISLM 30602,CMES 30602",F. Lewis,Taking these courses in sequence is recommended but not required. This sequence meets the general education requirement in civilization studies.
NEHC 20603,Islamic Thought and Literature III,100,"NEHC 30603,RLST 20403,SOSC 22200",A. El Shamsy,This course does not apply to the medieval studies major or minor.
SALC 20100,Introduction to the Civilizations of South Asia I,100,"ANTH 24101,HIST 10800,SASC 20000,SOSC 23000",M. Alam,
SALC 20200,Introduction to the Civilizations of South Asia II,100,"ANTH 24102,HIST 10900,SASC 20100,SOSC 23100",D. Chakrabarty,
RLST 10100,Introduction to Religious Studies,100,,R. Rosengarten,Required of students who are majoring in Religious Studies.
RLST 11004,Introduction to the Hebrew Bible,100,"BIBL 31000,JWSC 20120,NEHC 20504,NEHC 30504",Jeffrey Stackert,This course may be used to fulfill the College’s general education requirement in civilization studies.
RLST 11030,Introduction to the Qur'an,100,"NEHC 30030,NEHC 20030,ISLM 30030",Yousef Casewit,
RLST 12602,Introduction to the New Testament,100,"FNDL 28205,BIBL 32602",Jeff Jay,
RLST 20150,Jewish Thought in the Medieval Islamic World,100,"HIJD 30150,NEHC 20583,NEHC 30583,JWSC 20150","Sarah Stroumsa, Greenberg Visiting Professor of Jewish Studies",
RLST 20231,Jews and Christians in the Middle East,100,"JWSC 26215,NEHC 20585,BPRO 25400","O. Bashkin, A. Heo",
RLST 20401,Islamic Thought and Literature I,100,"NEHC 30601,SOSC 22000,HIST 25610,HIST 35610,ISLM 30601,NEHC 20601",A. El Shamsy,
RLST 20402,Islamic Thought and Literature II,100,"NEHC 30602,SOSC 22100,ISLM 30602,CMES 30602,NEHC 20602",F. Lewis,Taking these courses in sequence is recommended but not required. This sequence meets the general education requirement in civilization studies.
RLST 20403,Islamic Thought and Literature III,100,"NEHC 30603,SOSC 22200,NEHC 20603",A. El Shamsy,This course does not apply to the medieval studies major or minor.
RLST 20408,The Bible and Archaeology,100,"NEHC 20121,NEHC 30121,JWSC 20121",David Schloen,This course may be used to fulfill the College’s general education requirement in civilization studies.
RLST 20501,Islamic History and Society I: The Rise of Islam and the Caliphate,100,"NEHC 30501,HIST 25704,HIST 35704,ISLM 30500,NEHC 20501",F. Donner,Taking these courses in sequence is recommended but not required. This sequence meets the general eduation requirement in civilization studies.
RLST 20505,Pagans and Christians: Greek Backgrounds to Early Christianity,100,"CLCV 26200,CLAS 36200",D. Martinez,
RLST 20702,Calvin's Institutes,100,"HCHR 41700,FNDL 23113,THEO 41300",Susan Schreiner,
RLST 21107,Readings in Maimonides' Guide of the Perplexed,100,"ISLM 45400,FNDL 24106,RLIT 45402,NEHC 40470,JWSC 21107,HREL 45401,HIJD 45400",James Robinson,
RLST 21203,Temple State to People of the Book: Judeans/Jews in History,100,"BIBL 30151,HIJD 30151,HIST 20506,NEHC 30410,JWSC 20151",Daniel Schwartz (Greenberg Visiting Professor),
RLST 21400,"Latin American Religions, New and Old",100,,D. Borges,
RLST 21801,Religion and Society in the Middle Ages,100,HIST 27905,L. Pick,
RLST 22400,Tolkien: Medieval and Modern,100,"FNDL 24901,HIST 29902",R. Fulton,
RLST 22505,Histories of Japanese Religion,100,"HIST 34700,EALC 24700,EALC 34700,HREL 34705,HIST 24700",J. Ketelaar,
RLST 23400,Introduction to Christian Theology,100,,R. Coyne,
RLST 23605,"Aquinas on God, Being, and Human Nature",100,"CLCV 23712,FNDL 20700",S. Meredith,Required of all incoming Fundamentals majors
RLST 23900,Buddhist Thought in India and Tibet,100,SALC 23903,D. Arnold,
RLST 23904,Ethical and Theological Issues in Hinduism,100,"SALC 38304,SCTH 32202,HREL 33702",Wendy Doniger,"A seminar suitable for BA, MA and PhD students"
RLST 24050,Understanding Wisdom,100,"HUMA 24005,PSYC 24050,BPRO 24000","C. Gilpin, A. Henly",
RLST 24201,Indian Philosophy I: Origins and Orientations,100,"HREL 30200,SALC 20901,SALC 30901,DVPR 30201",Matthew Kapstein,
RLST 24202,Indian Philosophy II: The Classical Traditions,100,"HREL 30300,SALC 20902,SALC 30902,DVPR 30302",Dan Arnold,
RLST 24910,Pascal and Simone Weil,100,"CMLT 29101,CMLT 39101,FREN 39100,SCTH 38201,FNDL 21812,FREN 29100",T. Pavel,"Taught in English, with a special weekly session in French for students seeking French credit."
RLST 25120,"The ""Science of Letters"" in Judaism and Islam",100,"HREL 44908,ISLM 44908,FNDL 25120,HIJD 44908",James Robinson,FNDL and  NEHC forthcoming
RLST 25405,Milton,100,"FNDL 21201,ENGL 17501",J. Scodel,
RLST 25903,Judah Halevi's Kuzari,100,"ISLM 45712,FNDL 25903,SCTH 45712,HIJD 45712",James Robinson and Ralph Lerner,
RLST 26150,Introduction to Buddhism,100,"CHDV 29701,SALC 29700",S. Collins,
RLST 26310,Islam and Biomedicine,100,"ISLM 33900,AASR 33900",Elham Mireshghi,
RLST 26623,Narratives of Assimilation,100,"REES 27003,REES 37003,NEHC 20223,NEHC 30223,JWSC 20223",Bożena Shallcross,This course may be used to fulfill the general education requirement in civilization studies.
RLST 26800,The Mahabharata in English Translation,100,"FNDL 24400,HREL 35000,SALC 20400,SALC 48200",W. Doniger,
